iso3n,continent
4,Asia
248,Europe
8,Europe
12,Africa
16,Oceania
20,Europe
24,Africa
660,Americas
28,Americas
32,Americas
51,Asia
533,Americas
36,Oceania
40,Europe
31,Asia
44,Americas
48,Asia
50,Asia
52,Americas
112,Europe
56,Europe
84,Americas
204,Africa
60,Americas
64,Asia
68,Americas
535,Americas
70,Europe
72,Africa
76,Americas
96,Asia
100,Europe
854,Africa
108,Africa
132,Africa
116,Asia
120,Africa
124,Americas
136,Americas
140,Africa
148,Africa
152,Americas
156,Asia
162,Oceania
170,Americas
174,Africa
178,Africa
184,Oceania
188,Americas
384,Africa
191,Europe
192,Americas
531,Americas
196,Asia
203,Europe
180,Africa
208,Europe
262,Africa
212,Americas
214,Americas
218,Americas
818,Africa
222,Americas
226,Africa
232,Africa
233,Europe
231,Africa
238,Americas
234,Europe
242,Oceania
246,Europe
250,Europe
254,Americas
258,Oceania
266,Africa
270,Africa
268,Asia
276,Europe
288,Africa
292,Europe
300,Europe
304,Americas
308,Americas
312,Americas
316,Oceania
320,Americas
831,Europe
324,Africa
624,Africa
328,Americas
332,Americas
336,Europe
340,Americas
344,Asia
348,Europe
352,Europe
356,Asia
360,Asia
364,Asia
368,Asia
372,Europe
833,Europe
376,Asia
380,Europe
388,Americas
392,Asia
832,Europe
400,Asia
398,Asia
404,Africa
296,Oceania
408,Asia
414,Asia
417,Asia
418,Asia
428,Europe
422,Asia
426,Africa
430,Africa
434,Africa
438,Europe
440,Europe
442,Europe
446,Asia
450,Africa
454,Africa
458,Asia
462,Asia
466,Africa
470,Europe
584,Oceania
474,Americas
478,Africa
480,Africa
175,Africa
484,Americas
583,Oceania
492,Europe
496,Asia
499,Europe
500,Americas
504,Africa
508,Africa
104,Asia
516,Africa
520,Oceania
524,Asia
528,Europe
540,Oceania
554,Oceania
558,Americas
562,Africa
566,Africa
570,Oceania
574,Oceania
580,Oceania
578,Europe
512,Asia
586,Asia
585,Oceania
275,Asia
591,Americas
598,Oceania
600,Americas
604,Americas
608,Asia
612,Oceania
616,Europe
620,Europe
630,Americas
634,Asia
410,Asia
498,Europe
638,Africa
642,Europe
643,Europe
646,Africa
652,Americas
654,Africa
659,Americas
662,Americas
663,Americas
666,Americas
670,Americas
882,Oceania
674,Europe
678,Africa
682,Asia
686,Africa
688,Europe
690,Africa
694,Africa
702,Asia
534,Americas
703,Europe
705,Europe
90,Oceania
706,Africa
710,Africa
728,Africa
724,Europe
144,Asia
729,Africa
740,Americas
744,Europe
748,Africa
752,Europe
756,Europe
760,Asia
158,Asia
762,Asia
764,Asia
807,Europe
626,Asia
768,Africa
772,Oceania
776,Oceania
780,Americas
788,Africa
792,Asia
795,Asia
796,Americas
798,Oceania
800,Africa
804,Europe
784,Asia
826,Europe
834,Africa
840,Americas
858,Americas
860,Asia
548,Oceania
862,Americas
704,Asia
92,Americas
850,Americas
876,Oceania
732,Africa
887,Asia
894,Africa
716,Africa
